species,grp,region,pctredbpt,pctredbl,pctredbu,key,q025,q50,q975,silhouette,lambda,delta,fe
Loggerhead turtle (S Pacific),turtle,S Pacific,43.4,26,72.3,pctredmey,60.01774613925001,62.17423326,64.39836332375,turtle,0.964,-0.036,0.089
Loggerhead turtle (S Pacific),turtle,S Pacific,43.4,26,72.3,pctredmsy,44.561770959,47.373206885,50.30417996675,turtle,0.964,-0.036,0.089
Loggerhead turtle (S Pacific),turtle,S Pacific,43.4,26,72.3,ycostmsy,0,4.4899999999999996e-4,0.16919596447499985,turtle,0.964,-0.036,0.089
Māui dolphin,mammal,New Zealand,50,30,83.3,pcostmey,8.405782074300001,25.915096910000003,57.88587093625,dolphin,0.96,-0.04,0.08
Māui dolphin,mammal,New Zealand,50,30,83.3,pctredmey,-36.069526380250004,-24.77426998,-12.746199557000008,dolphin,0.96,-0.04,0.08
Māui dolphin,mammal,New Zealand,50,30,83.3,pctredmsy,-78.37391801000001,-63.64923967,-48.0036026235,dolphin,0.96,-0.04,0.08
Māui dolphin,mammal,New Zealand,50,30,83.3,ycostmsy,17.77771800975,37.53303581,67.63736018374999,dolphin,0.96,-0.04,0.08
Narrow-ridged finless porpoise,mammal,NW Pacific,58.7,35.2,97.9,pcostmey,0,12.30689053,82.143645486,porpoise,0.943,-0.057,0.097
Narrow-ridged finless porpoise,mammal,NW Pacific,58.7,35.2,97.9,pctredmey,14.69288226425,35.752276785,51.123226648,porpoise,0.943,-0.057,0.097
Narrow-ridged finless porpoise,mammal,NW Pacific,58.7,35.2,97.9,pctredmsy,-22.9152759815,8.434450124000001,31.359537127,porpoise,0.943,-0.057,0.097
Narrow-ridged finless porpoise,mammal,NW Pacific,58.7,35.2,97.9,ycostmsy,1.4625797787750001,28.443192709999998,86.49333795049999,porpoise,0.943,-0.057,0.097
NZ sea lion,mammal,New Zealand,59.7,35.8,99.5,pcostmey,52.0114579255,71.815419475,97.94386506375001,pinniped,0.96,-0.04,0.067
NZ sea lion,mammal,New Zealand,59.7,35.8,99.5,pctredmey,-148.80100019,-132.14965895,-122.5169000275,pinniped,0.96,-0.04,0.067
NZ sea lion,mammal,New Zealand,59.7,35.8,99.5,pctredmsy,-236.48532199250002,-213.94761119999998,-201.3151792525,pinniped,0.96,-0.04,0.067
NZ sea lion,mammal,New Zealand,59.7,35.8,99.5,ycostmsy,64.1792534145,79.730827385,98.59043445975,pinniped,0.96,-0.04,0.067
Olive ridley turtle (NE Indian),turtle,NE Indian Ocean,38.5,23.1,64.1,pcostmey,0,0,0,turtle,0.97,-0.03,0.078
Olive ridley turtle (NE Indian),turtle,NE Indian Ocean,38.5,23.1,64.1,pctredmey,64.56457035275,68.256611275,71.20371823999999,turtle,0.97,-0.03,0.078
Olive ridley turtle (NE Indian),turtle,NE Indian Ocean,38.5,23.1,64.1,pctredmsy,50.51927296,56.09485785,60.569449233,turtle,0.97,-0.03,0.078
Olive ridley turtle (NE Indian),turtle,NE Indian Ocean,38.5,23.1,64.1,ycostmsy,0,0,0.6868450542499978,turtle,0.97,-0.03,0.078
Olive ridley turtle (W Indian),turtle,W Indian Ocean,128.6,77.1,214.3,pcostmey,2.16751051425,100,100,turtle,0.82,-0.18,0.14
Olive ridley turtle (W Indian),turtle,W Indian Ocean,128.6,77.1,214.3,pctredmey,50.700369599,59.41626703,66.21486723150001,turtle,0.82,-0.18,0.14
Olive ridley turtle (W Indian),turtle,W Indian Ocean,128.6,77.1,214.3,pctredmsy,29.116315589249997,42.108715885,52.317592321,turtle,0.82,-0.18,0.14
Olive ridley turtle (W Indian),turtle,W Indian Ocean,128.6,77.1,214.3,ycostmsy,11.410131601249999,100,100,turtle,0.82,-0.18,0.14
Sooty shearwater,bird,"Atlantic, Pacific, S Indian Ocean, S Ocean",600,360,1e3,pcostmey,100,100,100,bird,0.982,-0.018,0.003
Sooty shearwater,bird,"Atlantic, Pacific, S Indian Ocean, S Ocean",600,360,1e3,pctredmey,4.4945795027,11.337164355,17.7157787515,bird,0.982,-0.018,0.003
Sooty shearwater,bird,"Atlantic, Pacific, S Indian Ocean, S Ocean",600,360,1e3,pctredmsy,-40.5667838865,-30.425193115,-20.939885433,bird,0.982,-0.018,0.003
Sooty shearwater,bird,"Atlantic, Pacific, S Indian Ocean, S Ocean",600,360,1e3,ycostmsy,100,100,100,bird,0.982,-0.018,0.003
Tristan albatross,bird,S Atlantic,90.6,54.4,151,pcostmey,0,100,100,bird,0.971,-0.029,0.032
Tristan albatross,bird,S Atlantic,90.6,54.4,151,pctredmey,51.073142896250005,60.4396872,64.60904092525,bird,0.971,-0.029,0.032
Tristan albatross,bird,S Atlantic,90.6,54.4,151,pctredmsy,30.2568386145,43.97419375,49.8522580555,bird,0.971,-0.029,0.032
Tristan albatross,bird,S Atlantic,90.6,54.4,151,ycostmsy,2.865287352075,100,100,bird,0.971,-0.029,0.032
Vaquita porpoise,mammal,Gulf of California - Mexico,89.5,53.7,149.1,pcostmey,39.12058031725,100,100,porpoise,0.66,-0.34,0.38
Vaquita porpoise,mammal,Gulf of California - Mexico,89.5,53.7,149.1,pctredmey,-27.948583222999996,-26.20296866,-25.355952860000002,porpoise,0.66,-0.34,0.38
Vaquita porpoise,mammal,Gulf of California - Mexico,89.5,53.7,149.1,pctredmsy,-35.35927868825,-32.917893115,-31.785887316,porpoise,0.66,-0.34,0.38
Vaquita porpoise,mammal,Gulf of California - Mexico,89.5,53.7,149.1,ycostmsy,5.255695113825,100,100,porpoise,0.66,-0.34,0.38
White-chinned petrel,bird,"S Pacific, S Atlantic, S Indian, S Ocean",27.7,16.6,46.1,pcostmey,0,0,0.37200997552499965,bird,0.964,-0.036,0.13
White-chinned petrel,bird,"S Pacific, S Atlantic, S Indian, S Ocean",27.7,16.6,46.1,pctredmey,26.728497094,37.260131200000004,45.27739457599999,bird,0.964,-0.036,0.13
White-chinned petrel,bird,"S Pacific, S Atlantic, S Indian, S Ocean",27.7,16.6,46.1,pctredmsy,-3.2091814598999995,12.140585315,24.437842536499996,bird,0.964,-0.036,0.13
White-chinned petrel,bird,"S Pacific, S Atlantic, S Indian, S Ocean",27.7,16.6,46.1,ycostmsy,0,0.387240852,2.3125823678499993,bird,0.964,-0.036,0.13
